source,target,length,voltage_kV,capacity_MW,reactance
95,171,118.6151547351876,230,5511.9757779792435,8.969009809844053e-05
97,40,44.75099382270071,138,2628.899875102934,9.39949460674243e-05
40,202,46.02389409834962,138,2428.62237441731,9.66685446300139e-05
98,28,27.274446605498667,138,2229.9529453539094,5.728722244381152e-05
98,57,74.08980754758782,230,6113.04488944977,5.6022538788346186e-05
98,74,32.931781327224016,138,1945.8048024971986,6.916988306495277e-05
98,100,72.70907815278427,230,5931.650858198635,5.497850900021495e-05
98,125,33.087833905877005,138,2658.297285895962,6.949765575693553e-05
98,135,45.239579381007715,138,1697.5938260924852,9.502117072255348e-05
98,205,53.04113650053226,230,6755.231204885117,4.01067194711019e-05
57,2562,71.50008047898193,230,7749.207323001749,5.406433306539277e-05
100,99,72.41763194828316,230,7737.144714213273,5.475813379832375e-05
99,4459,75.87093146598178,230,4014.56349014875,5.7369324359910613e-05
101,123,45.204682251565536,138,2501.923915363659,9.49478728241242e-05
101,210,52.05680112005053,230,4609.613484525204,3.936242050665447e-05
104,174,20.962047848922055,138,1934.3300512784654,4.402866592926287e-05
104,222,35.56670982458179,138,1651.7835685852383,7.470428444566644e-05
106,186,33.809892105969496,138,2069.1323384249154,7.101426613310123e-05
107,178,20.384878668979113,138,2584.6112890316235,4.281638031711639e-05
108,116,75.81283638997886,230,7036.522338680417,5.732539613608988e-05
108,207,129.31026315287207,345,17244.19825653681,4.345650515534453e-05
108,4120,209.76262670530534,345,10009.457529499621,7.049363636389173e-05
109,54,52.14350525957865,230,7164.175927720362,3.9427981292687075e-05
54,147,51.03436172421867,230,5008.1861899343885,3.858930943230145e-05
111,52,26.91613343350967,138,1494.1127581958704,5.653462178851012e-05
111,148,29.51980273539094,138,1888.7987265185247,6.200336638393392e-05
111,192,34.64166968867991,138,2879.028962586089,7.276133099911764e-05
111,204,24.612006673241943,138,2183.8544604918675,5.1695036070661505e-05
52,119,28.228762128129095,138,2331.419153909499,5.9291665885589356e-05
52,172,37.358962843687294,138,1896.7654053606532,7.846873103063915e-05
112,113,34.82777869104633,138,2703.244173817561,7.315223417569069e-05
112,215,28.262711138760217,138,2227.821858630646,5.936297235614412e-05
113,129,165.78058047557474,345,16058.336340889648,5.571286048328494e-05
113,3770,163.8502888866495,345,13301.387367269179,5.50641592561729e-05
115,114,22.918378654664888,138,1443.9185001287833,4.813774134565194e-05
115,205,27.993957461289778,138,2470.5946089890267,5.87984823803608e-05
116,117,25.200608016262233,138,1681.797916663807,5.293133378757033e-05
116,118,25.669780162868605,138,2161.292444913643,5.39167825307049e-05
116,207,106.05734700209182,230,7960.744165972539,8.019459130592955e-05
116,522,117.01342487017493,230,6157.659920407639,8.847896020429107e-05
119,56,34.490199948195446,138,2336.7628239745472,7.24431840961887e-05
119,148,33.73122261524767,138,2803.6261606317476,7.084902880749353e-05
119,175,24.82832674882664,138,2604.123374640786,5.214939455750186e-05
56,149,20.373146796197044,138,2720.406932246965,4.279173870236724e-05
56,152,25.071014592802175,138,1560.76634331146,5.26591358807019e-05
56,175,30.769743817146185,138,2179.5350343562222,6.46287414768876e-05
56,198,44.7618270397947,138,1693.1613544905051,9.401770014659672e-05
122,121,26.524596719037984,138,2966.074849661457,5.571223843528247e-05
122,123,34.22398099778713,138,2474.0163804545737,7.188401805878414e-05
123,30,36.2953444443568,138,1521.447782772648,7.623470792765553e-05
123,140,58.516367722750005,230,7199.204527723505,4.424678088676749e-05
30,140,31.524103244095677,138,2557.88603775186,6.621319732009174e-05
125,208,15.77393002144998,138,1536.7405357800576,3.31315480391724e-05
129,126,28.756151873289653,138,1497.2607797563978,6.039939481892387e-05
129,127,22.19726802103582,138,1852.330993056353,4.66231212372103e-05
129,128,23.605278551904465,138,1661.8293656414721,4.958050525499782e-05
129,207,158.12070731020205,345,13468.68151244787,5.313865400048799e-05
129,235,33.91341125745537,138,1585.1855249687164,7.123169766321229e-05
129,4112,146.1149730980111,345,16428.105454497632,4.910396071346728e-05
131,139,51.797634273704034,230,7794.130340111409,3.916645313701628e-05
135,236,47.18400023731987,138,2901.472491800378,9.910523049216524e-05
136,146,37.89602170691931,138,2787.0651343031905,7.959676897063497e-05
139,138,40.18250620374981,138,2188.3767516160324,8.43992988946646e-05
139,140,64.32629493014572,230,5378.777105962471,4.863992055209507e-05
138,140,53.75962434792953,230,7504.789266301382,4.064999950694104e-05
138,143,54.179410264731565,230,4931.685083735044,4.096741796955128e-05
138,150,93.80616429036469,230,5420.312870304623,7.09309370815612e-05
138,205,95.25748335575736,230,5286.587375479444,7.202834280208496e-05
138,4882,123.30005515209038,345,16114.824130211573,4.143669150248784e-05
140,102,26.637753660175647,138,1835.0616301940686,5.5949913169871136e-05
140,141,85.93003373313256,230,4417.172251601937,6.497545083790743e-05
140,186,28.032268011934004,138,2648.6396758971196,5.8878949825528255e-05
141,142,39.07891915027848,138,1583.4807765238722,8.208132566746161e-05
143,151,67.81779148921694,230,6020.1465948580235,5.127999356462529e-05
143,202,49.51606493871664,138,2801.41321394362,0.00010400349703574172
143,234,26.833058164378176,138,2019.5245114199547,5.636013057000247e-05
144,96,28.51942082631058,138,1721.6459111080317,5.990216514663007e-05
144,192,37.13193791607436,138,2252.7467034516203,7.799188808249182e-05
96,148,28.21320323823232,138,1709.7457078141613,5.925898600762932e-05
145,103,41.92956392075886,138,2312.598509623254,8.806881730888229e-05
145,194,29.84706525067585,138,2978.8494583086936,6.269074826859032e-05
145,196,37.60702198189171,138,1407.0861207661073,7.89897542152735e-05
103,153,55.40802096565625,230,4385.012376342998,4.1896424170628546e-05
103,190,30.476804750801747,138,1627.9891255164237,6.401345253266488e-05
146,153,42.92859163601337,138,2722.3441951672253,9.016717419872584e-05
149,198,24.644865218826126,138,1825.0069312091557,5.176405212943946e-05
150,181,41.67224470279948,138,1562.1584376742587,8.752834426128855e-05
150,191,84.06792245600283,230,7625.779416306137,6.356742718790385e-05
151,85,68.00823732958602,230,4630.424469103108,5.1423997980783386e-05
85,4448,71.58273146144744,230,6350.491576010056,5.412682908237992e-05
152,198,35.01726818552527,138,1458.1038340090413,7.355023773477268e-05
153,124,50.3662650197232,230,4065.300954143826,3.8084132340055354e-05
153,154,27.904123539004058,138,2696.1656226861724,5.860979529301419e-05
153,156,36.89826102149668,138,2217.0632551378367,7.750107334907935e-05
153,157,78.49423921874853,230,4714.588373359038,5.935292190453576e-05
153,158,27.64278797281136,138,1976.487089242361,5.8060886311303e-05
124,173,30.42727516050863,138,1891.7919634256862,6.390942062698725e-05
124,194,57.47441312668178,230,7303.0635327636155,4.3458913517339725e-05
124,232,53.89798263309683,230,4072.0492751502625,4.075461824808835e-05
154,155,30.353902767151727,138,1738.365614494137,6.375530931978939e-05
154,157,58.27549497349734,230,4950.10221935593,4.406464648279572e-05
154,159,25.09759299743702,138,1787.4886198905074,5.271496113723381e-05
154,173,38.596032778352864,138,2666.913926721386,8.106707157814086e-05
155,32,32.60759684387219,138,2676.97861069704,6.848896627572398e-05
32,174,34.98777039723447,138,2180.141103093734,7.348828060750782e-05
156,189,39.509195289655096,138,1995.9680454706538,8.298507727295757e-05
157,193,50.45949027056265,230,4532.667021441046,3.815462402310976e-05
161,27,29.113218997089664,138,2149.94156741676,6.11493782757607e-05
161,196,32.50285720999323,138,2526.8016733677714,6.826897124552243e-05
27,166,27.893773255463312,138,2020.4976386063754,5.858805556703069e-05
163,162,41.34538048817543,138,1494.654376214839,8.684179896697212e-05
163,164,26.49647289273798,138,1523.1346849446008,5.56531671765133e-05
163,191,45.80556450045124,138,2168.7877120350586,9.620996534436303e-05
162,165,29.238742028103754,138,2084.591849524172,6.141302673409736e-05
166,176,28.00815406708011,138,2013.885581814323,5.8828300918042654e-05
170,168,54.98509447836302,230,4101.586017554948,4.15766309855297e-05
170,169,66.31810011746798,230,4271.127162051813,5.014601143097768e-05
170,171,89.50613195924454,230,6181.634372327299,6.767949486521327e-05
168,229,54.25494415707839,230,6580.734957541018,4.102453244391561e-05
169,187,53.63519397771951,230,7056.73570883841,4.055591227048735e-05
169,227,41.51772423058854,138,2144.398201237025,8.720378960426074e-05
174,189,42.202780989527135,138,2128.166833245744,8.864268218762262e-05
178,177,56.950669540690235,230,4695.835896839339,4.306288812150491e-05
177,179,60.352110719215936,230,7139.775142362397,4.5634866328329634e-05
177,180,21.473267881691903,138,1627.8148997168475,4.510243201363558e-05
179,199,115.84330077752148,230,4499.883611776443,8.759417828167977e-05
179,206,130.64506935181595,345,14636.401578843486,4.3905085268411154e-05
184,105,120.54312748026112,345,12866.203254839525,4.0510187769043854e-05
184,182,22.993151183465457,138,1414.1801838587871,4.829479349604171e-05
184,183,23.26073669100783,138,2576.993614734547,4.885682984878771e-05
184,200,43.57808993777608,138,1839.0872242108242,9.153137983149776e-05
184,997,96.64015625273782,230,7688.127611277245,7.307384215707964e-05
105,1030,126.20331600459039,345,12756.706838420634,4.241237252832276e-05
105,1055,58.95864762114031,230,4064.78643605896,4.458120803110799e-05
185,187,24.847020045957294,138,2757.4607664559153,5.21886579415192e-05
187,228,49.00181007132686,138,1580.0828502211066,0.00010292335658753802
187,230,27.28285056263189,138,1984.881984535461,5.730487410760741e-05
188,205,30.96991497932307,138,1826.8303416077215,6.504918080093063e-05
192,193,51.818378499857545,230,7069.748324287439,3.9182138752255235e-05
195,204,30.7035017425911,138,1712.8429132242366,6.44896066847114e-05
198,200,46.65061535673132,138,2439.8754043402814,9.798490938191834e-05
198,201,54.158177165236935,230,4563.339947444272,4.095136269583133e-05
199,201,49.415674355763876,138,1910.8051943058274,0.00010379263674808626
201,197,23.547145016247782,138,1813.6979295273702,4.9458401630430126e-05
205,207,83.85964312272381,230,6568.603299095783,6.340993808901611e-05
206,207,130.1853924907802,345,16185.010179421428,4.375060449175558e-05
210,211,33.85799998020259,138,2259.2137715098966,7.111531186768031e-05
210,212,27.88112302845781,138,1513.4282551272636,5.8561485041919366e-05
210,213,27.17857271653903,138,2633.356346164694,5.708584901604501e-05
215,214,26.602945833063295,138,2365.350690108293,5.587680284197289e-05
214,499,27.567717123857037,138,2742.9307474084235,5.7903207569537985e-05
218,217,29.546515273759415,138,2831.922282452866,6.205947337483599e-05
221,220,31.037744633970966,138,2060.847452943815,6.519165014486655e-05
221,225,33.0749368899792,138,1704.4172605726296,6.947056687666289e-05
222,134,37.94190244400503,138,2933.7090818191377,7.969313682840796e-05
134,236,41.97136956251253,138,2999.20840653778,8.815662584018595e-05
223,137,27.366328672096294,138,1695.6326986794418,5.748021145157802e-05
223,227,35.17192779422242,138,2407.7574590395106,7.387508463394753e-05
137,224,36.81305971395072,138,2065.843817197919,7.732211660145079e-05
137,229,42.42315032404471,138,2876.930770287827,8.910554573418338e-05
224,219,30.76298229769033,138,1572.3122563750255,6.461453958767135e-05
225,216,32.757944883897935,138,1717.3443348440608,6.880475716004607e-05
216,228,39.27903170622857,138,2121.891781442515,8.250164189504007e-05
229,226,25.90076202136342,138,1717.6576657083951,5.440193661281962e-05
226,230,20.968692217506078,138,2915.429916684391,4.404262175489619e-05
234,233,24.088670133290844,138,1519.783311608434,5.059582048580308e-05
236,237,33.42912178682685,138,1457.6168967134986,7.021449650667265e-05
240,239,71.50171190071536,230,4149.500015573391,5.4065566654605195e-05
240,316,74.4288527245509,230,5283.7156822362385,5.627890565183433e-05
240,327,43.81186938601222,138,2165.7465098057373,9.202240996851968e-05
240,337,67.21723803358343,230,7504.406822331657,5.0825888872274805e-05
239,333,41.342569596778695,138,1514.803704823263,8.683589497328018e-05
239,354,59.56502544541063,230,6313.765383490587,4.50397167829192e-05
242,241,58.5279653136798,230,4525.809155576752,4.425555033170496e-05
242,284,67.39822416607106,230,7818.01132513041,5.0962740390223866e-05
242,363,30.13056559527717,138,1559.9865005425956,6.328621213038683e-05
242,364,25.763370200321592,138,1615.1084963242643,5.411335895887753e-05
242,365,26.0410563810801,138,2435.8053033870515,5.469661075631191e-05
242,366,26.502892625421055,138,2247.7864648302148,5.566665117710787e-05
241,351,54.98701879309447,230,5045.782899133994,4.157808604392777e-05
247,245,28.144424164203556,138,2231.366201214149,5.911452250410324e-05
247,246,36.99408679518931,138,1916.8415239892502,7.77023457155835e-05
247,330,34.33970543423604,138,2585.2524939254845,7.212708555815173e-05
246,257,53.02251797536309,230,4032.2200225859756,4.0092641191200824e-05
246,298,33.76514015616976,138,1986.9550852027194,7.092026917910051e-05
246,371,24.128508293860598,138,1839.5647652782486,5.0679496521446334e-05
246,378,37.67543481818604,138,2943.229121096715,7.913344847340063e-05
250,248,27.913073313530234,138,2347.528811924651,5.8628593391157806e-05
250,249,39.5980830796287,138,1867.959929147276,8.317177710487019e-05
249,280,15.59393866152161,138,2583.9250674449295,3.2753494353122473e-05
249,305,16.026495629581554,138,1642.483699426258,3.366203660907699e-05
249,312,31.365700181402207,138,1745.916633509909,6.588048767360262e-05
249,313,36.99845371244722,138,1667.419707565587,7.771151798455622e-05
249,360,38.922441412708245,138,1731.9528448653678,8.175265997208202e-05
252,238,99.50784050421866,230,5891.897049937588,7.524222344364362e-05
252,251,59.6250515589847,230,6531.239709904514,4.508510514857066e-05
252,253,76.74001578644211,230,7622.282506461712,5.8026476965173625e-05
252,289,35.0306194221713,138,2621.53858248698,7.35782806598851e-05
252,322,51.918502184154896,230,5984.643962452265,3.92578466420831e-05
252,376,33.635019773661604,138,1536.0618557148687,7.064696444793448e-05
238,318,100.90488968870858,230,4045.4571431182285,7.62985933373978e-05
238,4423,27.900176987431745,138,1642.350268471726,5.8601505959739014e-05
251,289,26.45794452462612,138,2742.9859141731768,5.557224222773813e-05
251,319,45.34346082705337,138,1818.2973324068967,9.523936321582309e-05
251,367,31.318016890130544,138,2544.861711789429,6.578033373268334e-05
251,370,31.23723680689441,138,2976.453935991547,6.561066332050916e-05
253,337,98.75542082027944,230,4228.416120732457,7.467328606448351e-05
253,4362,101.19204108926029,230,7072.565323568779,7.651572105048037e-05
255,254,18.453854637113107,138,1577.9571306586922,3.876045922519031e-05
255,285,84.68553387414228,230,5541.967776083802,6.403443015058017e-05
255,299,83.32762653561963,230,7149.468380167598,6.300765711578045e-05
254,284,58.24420961021452,230,5898.152390143316,4.404099025347034e-05
254,329,49.97555256359649,138,2339.080420607188,0.00010496860441839211
257,259,32.171726240747454,138,2293.5675770312073,6.757346406374176e-05
257,310,37.398277780146685,138,2324.9054767383436,7.855130808684453e-05
257,360,52.41847613558604,230,6861.543896740914,3.963589877927111e-05
257,368,24.181768710241236,138,2604.2528386540357,5.0791364650790244e-05
257,381,25.70959212744151,138,1564.3954269299916,5.400040354430059e-05
259,256,24.812205738692384,138,1735.6994316077116,5.211553400271452e-05
261,260,31.152170370599872,138,2506.4543849741854,6.543198985633243e-05
261,262,56.83657549742875,230,6696.277644237745,4.297661663321645e-05
261,267,36.91711771658894,138,2079.1567654457263,7.754067993402424e-05
261,334,42.30093599783584,138,2399.474786529664,8.884884687636178e-05
260,287,49.3762152209876,138,1785.3212303704859,0.00010370975681786937
260,350,40.54436135754643,138,1605.082747680756,8.515933912528131e-05
260,369,28.392577691590503,138,1767.9789802410176,5.963574394368936e-05
260,382,29.234384328403493,138,2833.8503357361333,6.140387382567421e-05
262,344,42.53099475826316,138,2035.4971829088047,8.933206208414863e-05
262,345,43.08654433255116,138,2357.3920323940592,9.04989378965578e-05
267,266,29.01578940382826,138,2382.8714264142754,6.094473724811649e-05
266,350,21.57719845941546,138,1945.6712995304108,4.532072770303605e-05
269,268,31.519041565028473,138,2871.505334801554,6.620256577405686e-05
269,346,66.64148269311325,230,7116.31966935518,5.0390535117665975e-05
269,362,78.54370375355153,230,6239.032297583916,5.939032419928282e-05
274,270,32.93833171193257,138,1468.4288068159044,6.918364148694091e-05
274,271,25.343208654361447,138,2670.807151193781,5.323085203604588e-05
274,272,47.02063971057932,138,1501.5460187350382,9.87621081927732e-05
274,273,24.997005771527828,138,1747.5902355514108,5.250368782089441e-05
274,275,34.89122892875079,138,1899.9778115118402,7.328550499632597e-05
274,325,26.73251860974751,138,2951.4406147268505,5.6148957382372414e-05
274,362,69.69156983010481,230,6675.564057284948,5.269683919100554e-05
272,372,30.566075363163314,138,1538.8652792312084,6.420095644436738e-05
280,279,39.909367656792234,138,1543.0638914791768,8.382559894306288e-05
280,305,16.351127161088773,138,1886.154281829478,3.434389237783821e-05
280,312,15.814570089930008,138,2678.2358668355732,3.321690840144929e-05
280,313,27.044180041365703,138,2895.4189839730943,5.680357076531339e-05
280,360,47.67161042433735,138,2801.123498180218,0.00010012940647833931
279,282,20.05569578357222,138,1733.187298631643,4.2124964888830536e-05
279,295,15.90883017583615,138,2652.42200096455,3.3414892198773685e-05
279,302,28.95645478939032,138,1460.0378366942027,6.082011087878664e-05
279,313,13.41001580864101,138,2159.782171617672,2.816638481126026e-05
281,264,16.266192369808323,138,2424.1053164869445,3.416549542072742e-05
281,334,24.88313543203509,138,1851.0983058480679,5.226451466506005e-05
264,334,36.71185978527664,138,2917.1046386924836,7.710955636479024e-05
282,284,19.995771933948976,138,2524.0442010282513,4.199910089046203e-05
282,295,19.11449126296581,138,1992.907936792863,4.014805978358708e-05
282,302,19.496235535436146,138,1402.7600121464914,4.0949875100685035e-05
282,313,27.55137726788993,138,2305.4272693911385,5.786888735116557e-05
284,283,29.711275005266977,138,1939.7931009837057,6.240553456262754e-05
284,285,63.40728951778518,230,5815.299062885579,4.794502042932717e-05
284,296,44.58682474442975,138,1953.3763813028254,9.365012548714502e-05
284,305,23.866690721991546,138,2554.9538978763344,5.0129575135457983e-05
284,366,41.1357910602748,138,2514.103239992594,8.640157752630708e-05
285,306,77.26642885071622,230,6812.53445297311,5.8424520870106786e-05
285,316,127.1450556650936,345,16910.348814590863,4.2728857186336846e-05
285,1178,177.05189171076643,345,13730.74791328351,5.9500740755561074e-05
286,276,23.53029581300249,138,1631.0955201353192,4.942301157950534e-05
276,351,24.885077340004493,138,2749.0754758110875,5.226859344676432e-05
287,351,45.13495156801747,138,1722.994571220696,9.480141056084325e-05
290,288,25.43090365436923,138,2085.0468416388903,5.341504653301666e-05
290,336,66.51946287935424,230,7922.936910039539,5.029827060820737e-05
290,4435,62.64489651807874,230,4973.973980725817,4.7368541790607744e-05
292,291,22.293304352603442,138,1599.6041456743328,4.6824835859280497e-05
292,325,35.93255245100884,138,1428.8754922768221,7.547269996011098e-05
292,362,40.92483722076816,138,2661.585707957545,8.595849027676571e-05
295,296,16.333070030125995,138,2601.242003383552,3.430596519665195e-05
